"unit","category","article","vocabulary","translation","id"
2,"VERBOS","","comer","to eat",120
2,"VERBOS","","descansar","to rest",121
2,"VERBOS","","desea","(she) wishes, wants",122
2,"VERBOS","","hago","I do",123
2,"VERBOS","","ir","to go",124
2,"VERBOS","","ganamos","we earn",125
2,"VERBOS","","mira","(she) looks at, watches",126
2,"VERBOS","","miran","they look at, watch",127
2,"VERBOS","","respirar","to breathe",128
2,"VERBOS","","son","they are",129
2,"VERBOS","","trabajar","to work",130
2,"VERBOS","","van","they go, walk",131
2,"VERBOS","","ver","to see",132
2,"VERBOS","","visita","(she) visits",133
2,"VERBOS","","visitan","they visit",134
2,"VERBOS","","vivir","to live",135
2,"OTRAS","","a","to",136
2,"OTRAS","","aqui","here",137
2,"OTRAS","","asi","so, (in) this way, thus",138
2,"OTRAS","","cómo","how",139
2,"OTRAS","","después de","after",140
2,"OTRAS","","eso","that",141
2,"OTRAS","las ","","the (fem plural)",142
2,"OTRAS","los ","","the (masc plural)",143
2,"OTRAS","","o","or",144
2,"OTRAS","","para","for, in order to",145
2,"OTRAS","","pero","but",146
2,"OTRAS","","por","along, through",147
2,"OTRAS","","por qué hay?","why is there?",148
2,"OTRAS","","pues","well, then",149
2,"OTRAS","","sustantivos","their",150
2,"OTRAS","","treinta","thirty",151
2,"OTRAS","","una","a",152
2,"OTRAS","","veinte","twenty",153
3,"SUSTANTIVOS","la ","abuela","the grandmother",154
3,"SUSTANTIVOS","el ","abuelo","the grandfather",155
3,"SUSTANTIVOS","la ","actividad","the activity",156
3,"SUSTANTIVOS","el ","amiguito","the little friend",157
3,"SUSTANTIVOS","el ","año","the year",158
3,"SUSTANTIVOS","la ","casa Hernández","the Hernandez home",159
3,"SUSTANTIVOS","el ","cuarto","the room",160
3,"SUSTANTIVOS","el ","cumpleaños","the birthday",161
3,"SUSTANTIVOS","el ","dia","the day",162
3,"SUSTANTIVOS","los ","dulces","the candy",163
3,"SUSTANTIVOS","la ","familia","the family",164
3,"SUSTANTIVOS","la ","forma","the shape, form",165
3,"SUSTANTIVOS","la ","hermana","the sister",166
3,"SUSTANTIVOS","","Jose","Joseph",167
3,"SUSTANTIVOS","","Joselito","Joey",168
3,"SUSTANTIVOS","el ","juego","the game",169
3,"SUSTANTIVOS","la ","musica","the music",170
3,"SUSTANTIVOS","el ","nene","the baby, a very young child",171
3,"SUSTANTIVOS","el ","niño","the child, the little boy",172
3,"SUSTANTIVOS","los ","padres","the parents",173
3,"SUSTANTIVOS","el ","pájaro","the bird",174
3,"SUSTANTIVOS","el ","pedazo","the piece",175
3,"SUSTANTIVOS","la ","piñata","the pinata",176
3,"SUSTANTIVOS","los ","refrescos","the refreshments",177
3,"SUSTANTIVOS","el ","regalito","the little present",178
3,"SUSTANTIVOS","el ","regalo","the present",179
3,"SUSTANTIVOS","","Sarita","little Sarah",180
3,"SUSTANTIVOS","","todo el mundo","everyone",181
3,"SUSTANTIVOS","","tudos","everybody, all",182
3,"SUSTANTIVOS","la ","torta de chocolate","the chocolate cake",183
3,"SUSTANTIVOS","el ","vecino","the neighbor",184
3,"SUSTANTIVOS","la ","vela","the candle",185
3,"VERBOS","","ayudar","to help",186
3,"VERBOS","","bailar","to dance",187
3,"VERBOS","","bajar","to go down",188
3,"VERBOS","","buscar","to look for",189
3,"VERBOS","","caminar","to walk, to stroll",190
3,"VERBOS","","cantar","to sing",191
3,"VERBOS","","comprar","to buy",192
3,"VERBOS","","cortar","to cut",193
3,"VERBOS","","desear","to wish, to want",194
3,"VERBOS","","entrar (en)","to enter",195
3,"VERBOS","","escuchar","to listen",196
3,"VERBOS","","está","he (she) is [location, mood]",197
3,"VERBOS","","explicar","to explain",198
3,"VERBOS","","gozar","to enjoy",199
3,"VERBOS","","gritar","to shout",200
3,"VERBOS","","invitar","to invite",201
3,"VERBOS","","llegar","to arrive",202
3,"VERBOS","","llevar","to carry",203
3,"VERBOS","","llorar","to cry",204
3,"VERBOS","","necesitar","to need",205
3,"VERBOS","","practicar","to practice",206
3,"VERBOS","","preguntar","to ask",207
3,"VERBOS","","preparar","to prepare",208
3,"VERBOS","","soplar","to blow (out)",209
3,"VERBOS","","sopla las velas","he blows out the candles",210
3,"VERBOS","","tomar","to take",211
3,"VERBOS","","va (a)","he (she) is going",212
3,"VERBOS","","vamos! (a)","let's",213
3,"ADJETIVOS","","contento,a","happy",214
3,"ADJETIVOS","","delicioso,a","delicious",215
3,"ADJETIVOS","","ese","that (masc)",216
3,"ADJETIVOS","","este","this (masc)",217
3,"ADJETIVOS","","feliz","happy",218
3,"ADJETIVOS","","lleno,a (de)","filled (with)",219
3,"ADJETIVOS","","magnifico,a","magnificent",220
3,"ADJETIVOS","","ocupado,a","busy",221
3,"ADJETIVOS","","pobre","poor",222
3,"ADJETIVOS","","su","his, her, your (formal)",223
3,"ADJETIVOS","","tipico,a","typical",224
3,"ADJETIVOS","","triste","sad",225
3,"ADJETIVOS","","tu","your (familiar)",226
3,"OTRAS","","cuando","when",227
3,"OTRAS","","cuatro","four",228
3,"OTRAS","","dónde?","where?",229
3,"OTRAS","","él","he",230
3,"OTRAS","","ella","she",231
3,"OTRAS","","ellos","they",232
3,"OTRAS","","entonces","then",233
3,"OTRAS","","hoy","today",234
3,"OTRAS","","hoy cumple cuatro anos","today he is four years old",235
3,"OTRAS","","más","more, most",236
3,"OTRAS","","que","who",237
3,"OTRAS","","qué?","what?",238
3,"OTRAS","","solo,a","alone",239
3,"OTRAS","","tú","you (familiar)",240
3,"OTRAS","","un (masc)","a",241
3,"OTRAS","","una (fem)","a",242
3,"OTRAS","","usted","you (formal)",243
4,"SUSTANTIVOS","el ","amigo","the friend",244
4,"SUSTANTIVOS","la ","Calle treinta y Cinco","Thirty-fifth Street",245
4,"SUSTANTIVOS","la ","carta","the letter",246
4,"SUSTANTIVOS","el ","esqueleto","the skeleton",247
4,"SUSTANTIVOS","la ","fiesta","the party",248
4,"SUSTANTIVOS","el ","helado","the ice cream",249
4,"SUSTANTIVOS","el ","horror","the horror",250
4,"SUSTANTIVOS","la ","invitación","the invitation",251
4,"SUSTANTIVOS","","Janita","Janie, Jeannie",252
4,"SUSTANTIVOS","la ","luz","the light",253
4,"SUSTANTIVOS","la ","máscara","the mask",254
4,"SUSTANTIVOS","la ","mesa","the table",255
4,"SUSTANTIVOS","la ","música","the music",256
4,"SUSTANTIVOS","el ","número","the number",257
4,"SUSTANTIVOS","la ","puerta","the door",258
4,"SUSTANTIVOS","la ","reunión","the meeting",259
4,"SUSTANTIVOS","la ","sorpresa","the surprise",260
4,"SUSTANTIVOS","el ","treinta y uno de octubre","the thirty-first of October",261
4,"SUSTANTIVOS","la ","Vispera de Todos Los Santos","Halloween",262
4,"ADJETIVOS","","bueno,a","good",263
4,"ADJETIVOS","","loco,a","crazy",264
4,"ADJETIVOS","","loco,a de curiosidad","crazy with curiosity",265
4,"ADJETIVOS","","misterioso,a","mysterious",266
4,"ADJETIVOS","","nervioso,a","nervous",267
4,"ADJETIVOS","","otro,a","other",268
4,"ADJETIVOS","","sorprendido,a","surprised",269
4,"VERBOS","","abre","(she) opens",270
4,"VERBOS","","lailan","they dance",271
4,"VERBOS","","beber","to drink",272
4,"VERBOS","","buscar","(she) looks for",273
4,"VERBOS","","caminar","walks",274
4,"VERBOS","","(nadie) camina","(nobody) walks",275
4,"VERBOS","","cantan","they sing",276
4,"VERBOS","","comen","they eat",277
4,"VERBOS","","comer","to eat",278
4,"VERBOS","","no comprende","(she) does not understand",279
4,"VERBOS","","corre","(she) runs",280
4,"VERBOS","","entrar (en)","to enter",281
4,"VERBOS","","está","(she) is (with certain adj & locations)",282
4,"VERBOS","","están","they are",283
4,"VERBOS","","recibe","(she) receives",284
4,"VERBOS","","sale (de)","goes out, leaves",285
4,"VERBOS","","toca a la puerta","(she) knocks at the door",286
4,"VERBOS","","vive","(he) lives",287
4,"OTRAS","","a las once de la noche","at eleven p.m.",288
4,"OTRAS","","claro","of course",289
4,"OTRAS","","cuando","when",290
4,"OTRAS","","de quién?","from whom?",291
4,"OTRAS","","en","on",292
4,"OTRAS","","hasta","to, until",293
4,"OTRAS","","nadie","nobody, no one",294
4,"OTRAS","","no hay","there is no, there isn't any",295
4,"OTRAS","","noventa y nueve","ninety-nine",296
4,"OTRAS","","pero","but",297
4,"OTRAS","","por qué?","why?",298
4,"OTRAS","","qué?","what?",299
4,"OTRAS","","qué pasa?","what is happening?",300
4,"OTRAS","","qué!","what a…!",301
4,"OTRAS","","qué horror!","what a horror",302
4,"OTRAS","","qué sorpresa!","what a surprise",303
4,"OTRAS","","tarde","late",304
5,"SUSTANTIVOS","el ","alumno","the pupil, the student",305
5,"SUSTANTIVOS","la ","Casa Blanca","the White House",306
5,"SUSTANTIVOS","el ","concurso","the contest",307
5,"SUSTANTIVOS","los ","Estados Unidos","United States",308
5,"SUSTANTIVOS","la ","historia","history",309
5,"SUSTANTIVOS","la ","clase de historia","the history class",310
5,"SUSTANTIVOS","","Jaimito","Jamie (little James)",311
5,"SUSTANTIVOS","","Jorge Washington","George Washington",312
5,"SUSTANTIVOS","el ","maestro de ceremonias","the master of ceremonies",313
5,"SUSTANTIVOS","el ","método","the method",314
5,"SUSTANTIVOS","el ","muchacho","the boy",315
5,"SUSTANTIVOS","la ","pregunta","the question",316
5,"SUSTANTIVOS","el ","presidente","the president",317
5,"SUSTANTIVOS","el ","profesor","the teacher",318
5,"SUSTANTIVOS","el ","tonto","the fool",319
5,"ADJETIVOS","","aplicado,a","studious",320
5,"ADJETIVOS","","blanco,a","white",321
5,"ADJETIVOS","","enfermo,a","sick",322
5,"ADJETIVOS","","intelligente","intelligent",323
5,"ADJETIVOS","","muerto,a","dead",324
5,"ADJETIVOS","","normal","normal",325
5,"ADJETIVOS","","otro,a","another, other",326
5,"ADJETIVOS","","perezoso,a","lazy",327
5,"ADJETIVOS","","seguro,a","sure",328
5,"ADJETIVOS","","tres","three",329
5,"VERBOS","","aprender","to learn",330
5,"VERBOS","","Conoce?","Sre you acquainted with?",331
5,"VERBOS","","contestar","to answer",332
5,"VERBOS","","creer","to believe",333
5,"VERBOS","","deber","should, must, to have to",334
5,"VERBOS","","decidir","to decide",335
5,"VERBOS","","estoy","I am",336
5,"VERBOS","","no estoy","I am not",337
5,"VERBOS","","hacer","to make",338
5,"VERBOS","","participar","to participate",339
5,"VERBOS","","saber","to know",340
5,"VERBOS","","No sabe Ud?","Don't you know",341
5,"VERBOS","","ser","to believe",342
5,"VERBOS","","usar"," to use",343
5,"VERBOS","","van a","they are going to, you (pl) are going to",344
5,"VERBOS","","vas a?","are you going to?",345
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Cómo?","How?",346
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Cuándo?","When?",347
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Cuántos,as?","How many?",348
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Dónde?","Where?",349
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Para qué?","Para que?",350
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Por qué?","Why?",351
5,"INTERROGATIVAS""tio""SUSTANTIVOS""s","","Quién?","Who?",352
5,"OTRAS","","ésas","those",353
5,"OTRAS","","hoy","today",354
5,"OTRAS","","más","most, more",355
5,"OTRAS","","ninguna","none",356
5,"OTRAS","","No es verdad?","Isn't it true?  Right?",357
5,"OTRAS","","primero","first",358
5,"OTRAS","","puers bien","well, then",359
5,"OTRAS","","que","that (masc)",360
5,"OTRAS","","ya","already, now",361
6,"SUSTANTIVOS","","Alicia","Alice",362
6,"SUSTANTIVOS","","Antonio","Anthony",363
6,"SUSTANTIVOS","el ","arroz","the rice",364
6,"SUSTANTIVOS","el ","azafrán","saffron",365
6,"SUSTANTIVOS","la ","cebolla","the onion",366
6,"SUSTANTIVOS","el ","centavo","the cent",367
6,"SUSTANTIVOS","los ","chorizos","the sausages",368
6,"SUSTANTIVOS","los ","comestibles","the groceries",369
6,"SUSTANTIVOS","la ","tienda de comestibles","the grocery store",370
6,"SUSTANTIVOS","el ","dependiente","the clerk",371
6,"SUSTANTIVOS","la ","docena","the dozen",372
6,"SUSTANTIVOS","la ","docena de huevos","the dozen eggs",373
6,"SUSTANTIVOS","el ","dólar","the dollar",374
6,"SUSTANTIVOS","la ","fruta","the fruit",375
6,"SUSTANTIVOS","el ","galón","the gallon",376
6,"SUSTANTIVOS","los ","guisantes","the peas",377
6,"SUSTANTIVOS","el ","huevo","the egg",378
6,"SUSTANTIVOS","el ","jugo","the juice",379
6,"SUSTANTIVOS","el ","jugo de naranja","the orange juice",380
6,"SUSTANTIVOS","la ","leche","the milk",381
6,"SUSTANTIVOS","la ","libra","the pound",382
6,"SUSTANTIVOS","la ","lista","the list",383
6,"SUSTANTIVOS","la ","mantequilla","the butter",384
6,"SUSTANTIVOS","la ","manzana","the apple",385
6,"SUSTANTIVOS","la ","manana","the morning",386
6,"SUSTANTIVOS","el ","medio","the half",387
6,"SUSTANTIVOS","la ","medio","the half",388
6,"SUSTANTIVOS","la ","mujer","the wife, the woman",389
6,"SUSTANTIVOS","la ","paella","",390
6,"SUSTANTIVOS","el ","pan","",391
6,"SUSTANTIVOS","el ","pimento verde","",392
6,"SUSTANTIVOS","","un poco de","",393
6,"SUSTANTIVOS","el ","pollo","",394
6,"SUSTANTIVOS","el ","queso","",395
6,"SUSTANTIVOS","el ","señor","",396
6,"SUSTANTIVOS","el ","tomate","",397
6,"SUSTANTIVOS","el ","trabajo","",398
6,"SUSTANTIVOS","la ","verdad","",399
6,"VERBOS","","comprar","to buy",400
6,"VERBOS","","desear","to wish, to want",401
6,"VERBOS","","necesitar","to need",402
6,"VERBOS","","pagar","to pay, to pay for",403
6,"VERBOS","","regresar","to return",404
6,"VERBOS","","(yo) se","I know",405
6,"VERBOS","","va","he (she) goes, you (formal sing.) go",406
6,"OTRAS","","adiós","good-bye",407
6,"OTRAS","","bien","well, then",408
6,"OTRAS","","está bien!","it's all right, fine",409
6,"OTRAS","","buenos dias","hello, good day",410
6,"OTRAS","","cincuenta","fifty",411
6,"OTRAS","","Como?","like",412
6,"OTRAS","","cuánto,a?","how much?",413
6,"OTRAS","","doce","twelve",414
6,"OTRAS","","gracias","thanks",415
6,"OTRAS","","Huy!","Oops!",416
6,"OTRAS","","nada","nothing, not anything",417
6,"OTRAS","","le toca a Antonio","it's Anthony's turn",418
6,"OTRAS","","Perdió la lista","He lost the list",419
6,"OTRAS","","quince","fifteen",420
6,"OTRAS","","siempre","always",421
6,"OTRAS","","sin","without",422
6,"OTRAS","","tan","so",423
6,"OTRAS","","un, una","a, one",424
6,"OTRAS","","unos,as","some",425
6,"OTRAS","","yo no!","not I",426
7,"SUSTANTIVOS","la ","aerolinea","airline",427
7,"SUSTANTIVOS","la ","agencia de viajes","travel agency",428
7,"SUSTANTIVOS","el ","alumno","pupil, student",429
7,"SUSTANTIVOS","el ","Año Nuevo","New Year",430
7,"SUSTANTIVOS","el ","árbol","tree",431
7,"SUSTANTIVOS","la ","atracción","attraction",432
7,"SUSTANTIVOS","(por) ","autobús","(by) bus",433
7,"SUSTANTIVOS","el ","avión","airplane",434
7,"SUSTANTIVOS","el ","calor","heat",435
7,"SUSTANTIVOS","la ","ciudad","city",436
7,"SUSTANTIVOS","la ","clase de historia","class",437
7,"SUSTANTIVOS","el ","color","color",438
7,"SUSTANTIVOS","la ","cultura","culture",439
7,"SUSTANTIVOS","el ","descuento","discount",440
7,"SUSTANTIVOS","el ","dia","day",441
7,"SUSTANTIVOS","","diciembre","December",442
7,"SUSTANTIVOS","la ","esposa","wife",443
7,"SUSTANTIVOS","los ","esposos","the couple",444
7,"SUSTANTIVOS","la ","estación","season",445
7,"SUSTANTIVOS","el ","fin de semana","weekend",446
7,"SUSTANTIVOS","la ","fotografia","photograph",447
7,"SUSTANTIVOS","la ","geografia","geography",448
7,"SUSTANTIVOS","el ","hogar","home",449
7,"SUSTANTIVOS","la ","hoja","leaf",450
7,"SUSTANTIVOS","el ","hotel","hotel",451
7,"SUSTANTIVOS","(este) ","invierno","(this) winter",452
7,"SUSTANTIVOS","","junio","June",453
7,"SUSTANTIVOS","el ","lugar","place",454
7,"SUSTANTIVOS","el ","mar","the sea",455
7,"SUSTANTIVOS","el ","mes","month",456
7,"SUSTANTIVOS","la ","Navidad","Christmas",457
7,"SUSTANTIVOS","el ","otoño","autumn",458
7,"SUSTANTIVOS","el ","pais","country",459
7,"SUSTANTIVOS","el ","paquete","package",460
7,"SUSTANTIVOS","la ","playa","beach",461
7,"SUSTANTIVOS","la ","primavera","spring",462
7,"SUSTANTIVOS","la ","red","the web",463
7,"SUSTANTIVOS","la ","región","region",464
7,"SUSTANTIVOS","la ","reservación","reservation",465
7,"SUSTANTIVOS","la ","semana","week",466
7,"SUSTANTIVOS","","septiembre","September",467
7,"SUSTANTIVOS","el ","sol","sun",468
7,"SUSTANTIVOS","el ","tango","tango (a dance)",469
7,"SUSTANTIVOS","la ","tarifa","(air) fare",470
7,"SUSTANTIVOS","","(hacer) turismo","sightseeing",471
7,"SUSTANTIVOS","las ","vacaciones","vacation",472
7,"SUSTANTIVOS","(este) ","verano","(this) summer",473
7,"SUSTANTIVOS","el ","vino","wine",474
7,"VERBOS","","consegur","to get, to obtain",475
7,"VERBOS","","desear","to desire, to want",476
7,"VERBOS","","disfrutar","to enjoy",477
7,"VERBOS","","enseñar","to teach",478
7,"VERBOS","","esquiar","to ski",479
7,"VERBOS","","estar","to be",480
7,"VERBOS","","ir","to go",481
7,"VERBOS","","mirar","to look",482
7,"VERBOS","","mostrar","to show (something)",483
7,"VERBOS","","nadar","to swim",484
7,"VERBOS","","pasar","to spend (time)",485
7,"VERBOS","","poder","to be able",486
7,"VERBOS","","Prefiero","I prefer",487
7,"VERBOS","","quedamos","to stay (at a place)",488
7,"VERBOS","","querer","to wish, to want",489
7,"VERBOS","","recibir","to receive",490
7,"VERBOS","","sacar fotografias","to take photos",491
7,"VERBOS","","seleccionar","to choose",492
7,"VERBOS","","tomar","to take photos",493
7,"VERBOS","","vamos a","we are going",494
7,"VERBOS","","ver","to see",495
7,"VERBOS","","viajar","to travel",496
7,"VERBOS","","volver","to return",497
7,"ADVERBIOS","","ademas","besides",498
7,"ADVERBIOS","","alli","there",499
7,"ADVERBIOS","","aqui","here",500
7,"ADVERBIOS","","despues de","after",501
7,"ADVERBIOS","","lejos","far",502
7,"ADVERBIOS","","mucho","a lot",503
7,"OTRAS","","A dónde te gustaria viajar","Where would you like to travel",504
7,"OTRAS","","a nuestro gusto","to our taste",505
7,"OTRAS","","a través de","through the",506
7,"OTRAS","","De acuerdo/Estoy de acuerdo","OK/I agree",507
7,"OTRAS","","Hace buen tiempo","The weather is good",508
7,"OTRAS","","Hace calor","It is hot",509
7,"OTRAS","","Hace frio","It is cold",510
7,"OTRAS","","Han aprendido","They have learned",511
7,"OTRAS","","durante las vacaciones","during vacation",512
7,"OTRAS","","primero","first",513
7,"OTRAS","","próximo/a","next",514
7,"OTRAS","","Pues claro que si","But of course!",515
7,"OTRAS","","Pues eso suena perfecto!","Well, that sounds Perfect!",516
7,"OTRAS","","Qué te parece si nos vamos a?","What do you think if we go to…?",517
7,"OTRAS","","(se besan)","(They kiss)",518
7,"OTRAS","","tomar el sol","to sunbathe",519
7,"CARIÑO","","Cariño","Sweetheart",520
7,"CARIÑO","","Mi amor","My love",521
7,"CARIÑO","","Mi cielo","My dearest",522
7,"CARIÑO","","Te adoro!","I adore you!",523
7,"CARIÑO","","Te quiero!","I love you!",524
8,"SUSTANTIVOS","","Alejandro","Alexander",525
8,"SUSTANTIVOS","la ","cafeteria","the cafeteria",526
8,"SUSTANTIVOS","el ","capitán","the captain",527
8,"SUSTANTIVOS","el ","cine","the movie theater, the ""movies""",528
8,"SUSTANTIVOS","la ","cita","the appointment, the date",529
8,"SUSTANTIVOS","la ","clase de álgebra","the algebra class",530
8,"SUSTANTIVOS","la ","clase de inglés","the English class",531
8,"SUSTANTIVOS","el ","coche","the car",532
8,"SUSTANTIVOS","el ","equipo","the team",533
8,"SUSTANTIVOS","los ","exámenes","the tests",534
8,"SUSTANTIVOS","el ","fin de semana","the weekend",535
8,"SUSTANTIVOS","la ","hora","the hour, the time",536
8,"SUSTANTIVOS","","Josefina","Josephine",537
8,"SUSTANTIVOS","el ","minuto","the minute",538
8,"SUSTANTIVOS","la ","oportunidad","the opportunity",539
8,"SUSTANTIVOS","la ","pelicula","the film, the movie",540
8,"SUSTANTIVOS","el ","sábado","(on) Saturday",541
8,"SUSTANTIVOS","el ","salón de clase","the classroom",542
8,"SUSTANTIVOS","el ","aula","the classroom",543
8,"SUSTANTIVOS","la ","tarde","the afternoon",544
8,"SUSTANTIVOS","el ","tiempo","the time (period of time)",545
8,"SUSTANTIVOS","la ","vida","the life",546
8,"ADJETIVOS","","amable","kind",547
8,"ADJETIVOS","","bello,a","beautiful",548
8,"ADJETIVOS","","libre","free",549
8,"ADJETIVOS","","ocupado,a","busy",550
8,"ADJETIVOS","","perfecto,a","perfect",551
8,"VERBOS","","caer","to fall",552
8,"VERBOS","","conocer","to be acquainted with",553
8,"VERBOS","","Ud no me conoce","You don't know me",554
8,"VERBOS","","conversar","to converse, to chat",555
8,"VERBOS","","dar","to give",556
8,"VERBOS","","dice","he (she) says, you say",557
8,"VERBOS","","eres","you are",558
8,"VERBOS","","estás","you are",559
8,"VERBOS","","oye!","listen!, hear!",560
8,"VERBOS","","perdone!","pardon",561
8,"VERBOS","","poner","to place, to put",562
8,"VERBOS","","quiere","you want, he (she) wants (formal)",563
8,"VERBOS","","quieres","you want (familiar)",564
8,"VERBOS","","salir","to go out",565
